,Training
0,1.3887733375832996
1,1.3918303690687859
2,1.3914729479502546
3,1.3944678507299588
4,1.3938761495229037
5,1.3941308843224471
6,1.3943748224992103
7,1.39535445716013
8,1.393045061166808
9,1.3912387725001336
10,1.390080586857818
11,1.3878731567319529
12,1.385282684087906
13,1.3836102124619358
14,1.3824109623505034
15,1.3799250231124263
16,1.3778567563937614
17,1.375832788989085
18,1.3743119166189337
19,1.373430600461511
20,1.3733568739455888
21,1.3735753993293585
22,1.3732124363921319
23,1.3723789118939758
24,1.3721954208303384
25,1.3715689175854648
26,1.3709157124565665
27,1.370588255405667
28,1.3703590631403968
29,1.369121400046444
30,1.3681463984186246
31,1.3677592077814615
32,1.3671372702340086
33,1.3667385934325629
34,1.3664966123201812
35,1.36608031131604
36,1.365593583980973
37,1.3656596552452078
38,1.365859417478162
39,1.3665984325279128
40,1.3673083738052985
41,1.368135605466728
42,1.3679591282186723
43,1.3677498823692564
44,1.3672093522613835
45,1.366671552212028
46,1.3657349052015704
47,1.3646806161881668
48,1.3632930071260891
49,1.3620730859125978
50,1.360972930799644
51,1.3600058810266258
52,1.3592006703582329
53,1.3585636415431117
54,1.3579763242356626
55,1.3568972962430912
56,1.355652258480123
57,1.3548505380919686
58,1.3543459659193797
59,1.3534013963508378
60,1.3524783160606473
61,1.3514239736381783
62,1.3500957128780753
63,1.3489021269791928
64,1.347929194064592
65,1.3470623482732476
66,1.3462446244300905
67,1.345386445226227
68,1.3445625711247027
69,1.3440386372102895
70,1.343532804437139
71,1.3430251323175064
72,1.3427167324417553
73,1.3421865334420526
74,1.3415947844826799
75,1.34098241985301
76,1.3403122381361288
77,1.3396107222327172
78,1.3390336362741513
79,1.3384839042285717
80,1.3378613654344917
81,1.337170830715052
82,1.3364775836952578
83,1.3357715060778628
84,1.3351332947482843
85,1.334619938042158
86,1.3341618818348289
87,1.3334894607255612
88,1.3327535343522356
89,1.3320549865093345
90,1.3314871234111074
91,1.33097584923465
92,1.330522414064456
93,1.3301731905543859
94,1.3296888819649058
95,1.3291525519960614
96,1.3286916999051435
97,1.3281823280102172
98,1.3275876800428879
99,1.3270020647886727
100,1.3263962401262581
101,1.3257865474143975
102,1.3251859164578814
103,1.3246177807083637
104,1.3240244244018549
105,1.323432507449037
106,1.3228543274918163
107,1.3223139504607786
108,1.321800848375187
109,1.3212652717333349
110,1.3207078279556617
111,1.3201501233660449
112,1.319607352036833
113,1.3190766119995658
114,1.318545153541268
115,1.3180179267008159
116,1.3175021569398866
117,1.3169951290393118
118,1.3164966226160577
119,1.316004041094664
120,1.3155196014165993
121,1.315043103372601
122,1.3145743532642777
123,1.31411547029176
124,1.3136662176437888
125,1.3132286360636156
126,1.312793441207173
127,1.3123628117029928
128,1.3119432931155177
