,Training
0,0.6001962559495478
1,0.5803250183076769
2,0.5759119614769047
3,0.5688403412570472
4,0.5659048544539678
5,0.5626623550649237
6,0.5580058938875364
7,0.5528828480386013
8,0.5454437821331648
9,0.5368541099062073
10,0.5252125614254137
11,0.5082502849930651
12,0.48373760677721483
13,0.456375338918601
14,0.43000004291420624
15,0.4068195261082406
16,0.3866088480496765
17,0.36865071587666376
18,0.3523911042005792
19,0.3377718625252694
20,0.3243369724204073
21,0.31210832508740227
22,0.3007745099699624
23,0.2903693267015458
24,0.28082781089278647
25,0.2721686529877662
26,0.263942927034576
27,0.2561612803747246
28,0.24905153847056152
29,0.24255603192083655
30,0.23630374792527364
31,0.2305856545930572
32,0.22520332242209623
33,0.22005442893693525
34,0.21535121375423
35,0.21079983200581812
36,0.20642566201077295
37,0.20238916759437398
38,0.19858448184058772
39,0.1948759815395733
40,0.19131464178159768
41,0.1878090349058904
42,0.18452176663440964
43,0.18135736236819222
44,0.17829580823295235
45,0.17538500573516327
46,0.17261575354206118
47,0.1699072513592482
48,0.16725108980690956
49,0.16470567194263575
50,0.16226968840018038
51,0.15977683502779363
52,0.1573626887228566
53,0.15498301805213732
54,0.1527279434257023
55,0.15051164547904555
56,0.14836405573587777
57,0.14632429741598443
58,0.14429808284887546
59,0.14234379519959203
60,0.14050673695606422
61,0.13875466374087708
62,0.13703399973327304
63,0.13536196860403302
64,0.13374561211728436
65,0.13219703205587446
66,0.13068821959978705
67,0.12922326128171274
68,0.12778968118336637
69,0.12638697331710444
70,0.12503726666682147
71,0.12373545025705553
72,0.12246746749006494
73,0.12123252843012153
74,0.12002500318233754
75,0.11884172402522096
76,0.11764376484532309
77,0.11642571338969983
78,0.11522930818488675
79,0.11402315137792568
80,0.11282625529026359
81,0.1116370534163217
82,0.11053627029135601
83,0.10944257601475686
84,0.10837095624630837
85,0.10732529870362291
86,0.10626568361773543
87,0.10521851364433207
88,0.1042430247830172
89,0.10319883968242087
90,0.10217492370186637
91,0.10123915737677636
92,0.10022427067442338
93,0.09925192099640735
94,0.0982917792369995
95,0.09737291693064912
96,0.09644823889331147
97,0.09557243779109673
98,0.09471474477026239
99,0.09387499424992389
100,0.09303988240923629
101,0.09220133584214715
102,0.09139761516649472
103,0.09059232327265022
104,0.08979587923185771
105,0.08901590000775252
106,0.08830411862714756
107,0.08766464152430407
108,0.08703286406623564
109,0.08639620863926598
110,0.08578125503354918
111,0.08520212749158283
112,0.08459283634038224
113,0.0839305769219563
114,0.08328562072242347
115,0.08265117532467735
116,0.08202588520999163
117,0.08143648391077687
118,0.08086337780870827
119,0.08029302440992844
120,0.0797244426693086
121,0.07915896800370716
122,0.07859963183843591
123,0.0780632324369502
124,0.07752784840714627
125,0.07703116363291053
126,0.07654213750209038
127,0.07602440758997205
128,0.07551467417521016
129,0.07501365544407942
130,0.07451297050484644
131,0.07402801657464707
132,0.07358742567083762
133,0.07314762469542929
134,0.07269976574609763
135,0.07224276688091961
136,0.07179412019014725
137,0.07135023519658472
138,0.07093479442012166
139,0.07055010939460736
140,0.07014597121082748
141,0.06975774534767978
142,0.06933148692483122
143,0.0689041978774753
144,0.06848927805329551
145,0.06807350988913667
146,0.06765738611476665
147,0.06724089693466619
148,0.06681534866121573
149,0.06639331696923471
150,0.06597816165650383
151,0.06555994301643245
152,0.06514626275366252
153,0.06473623459233284
154,0.06433136442713899
155,0.06393055653054988
156,0.06353139924164189
157,0.06313750084314085
158,0.06274849569092783
159,0.06236577265547728
160,0.06198733602034627
161,0.06161579517747765
162,0.061248751448493885
163,0.06088577219523332
164,0.06052838365015092
165,0.06017739356454834
166,0.05983232769189951
167,0.05948866846100988
168,0.0591483547654859
169,0.05881451405454318
170,0.05848625482110132
171,0.05816119672304893
172,0.05783947174427326
173,0.05752254436870924
174,0.057208139608072944
175,0.05689807308015462
176,0.05658989838221228
177,0.05628531143437789
178,0.05598237584210949
179,0.05568348610506479
180,0.05538816237115893
181,0.05509525395985586
182,0.054804924174214675
183,0.05451890362848958
184,0.054235681983827624
185,0.05395549962599156
186,0.053678008265862893
187,0.05340513815486259
188,0.05313664590517604
189,0.05287016964571956
190,0.052607356112236374
191,0.05234774657746786
192,0.05209074097303563
193,0.0518368918990642
194,0.051585506654218065
195,0.05133648605625819
196,0.05109016099454777
197,0.05084630311248185
198,0.05060479373193505
199,0.05036545818165839
200,0.05012841364669341
201,0.04989370541616855
202,0.049661028550485084
203,0.04943078568381041
204,0.04920332586934117
205,0.04897778251790679
206,0.048754102267974664
207,0.04853195961522414
208,0.04831237883781416
209,0.048093807495159055
210,0.047876403372985835
211,0.04766154879330866
212,0.04744832760557741
213,0.04723879192141811
214,0.04703076971373127
215,0.046824999384103456
216,0.04662174489047055
217,0.04642054465530177
218,0.046220792996418736
219,0.04602196707004234
220,0.045824512340662635
221,0.045628230158785664
222,0.04543209549797852
223,0.045238558150093026
224,0.04504649263433072
225,0.044856822262101574
226,0.0446678970425985
227,0.044481542763665956
228,0.04429720314057856
229,0.04411423397682098
230,0.043934766239733865
231,0.0437573960493726
232,0.04358130885308681
233,0.04340707738911638
234,0.043233833914489
235,0.04306102952840622
236,0.04289052316916352
237,0.0427217481626958
238,0.0425547636246158
239,0.04238870786900675
240,0.04222407539403032
241,0.04206096558272541
242,0.04189918143255082
