,Training
110,0.9306637462143676
111,0.9304849992275781
112,0.9303261916843639
113,0.9302196305869138
114,0.9302571692604028
115,0.9303547295166963
116,0.9304342114176732
117,0.9305011050737325
118,0.930618214734436
119,0.9308144780746151
120,0.9310269651735364
121,0.9312400442168222
122,0.931467947784439
123,0.9317058346162477
124,0.9319655304094461
125,0.9322091997094962
126,0.9324487806304699
127,0.9327199538394828
128,0.9330093398480094
129,0.933091734883716
130,0.933125952689571
131,0.9332627235136872
132,0.9334706776728862
133,0.9337487290577431
134,0.9340217340922613
135,0.9343712034775157
136,0.9346750169998116
137,0.9350845812780679
138,0.9354415149704985
139,0.9357401265628724
140,0.9360426540448704
141,0.9364652270229509
142,0.9369066674889281
143,0.9373565543238613
144,0.9377784424602572
145,0.9380909711623872
146,0.9383370145186598
147,0.938543704051033
148,0.9388049505034992
149,0.9390176029579665
150,0.9391841827409746
151,0.9393448452378693
152,0.9395531678354446
153,0.9398098400226176
154,0.9401199392665719
155,0.9403842443832524
156,0.940693594143844
157,0.9410320615721827
158,0.941313085608464
159,0.9415958090894092
160,0.9418644256902483
161,0.9421426398097305
162,0.942436222749075
163,0.9427081016238276
164,0.943002432596894
165,0.9432472924803625
166,0.9434488088002742
167,0.9435788079726031
168,0.9437727682969328
169,0.9438854223613328
170,0.9439447010596955
171,0.9440443173409319
172,0.9440606686081368
173,0.9440809119988169
174,0.9440488507994929
175,0.9439934418210543
176,0.9439560739660257
177,0.9439465004794545
178,0.9438453951836534
179,0.9437342108021163
180,0.9436347998713601
181,0.9435102506186235
182,0.9433190871193189
183,0.9431874872959347
184,0.942963494272708
185,0.942676099698661
186,0.9424199531141918
187,0.9421715445078411
188,0.941925532601317
189,0.9417160736372087
190,0.9414745689233072
191,0.9412353497298479
192,0.9410432795311949
193,0.9407524590362244
194,0.9403754761550135
195,0.9400020694181153
196,0.9396431858439394
197,0.9393314567015626
198,0.9390008164416749
199,0.9386623807600915
200,0.9383378411032995
201,0.9380162559848207
202,0.9377403279596935
203,0.9374136809394824
204,0.9371428883861704
205,0.9368428735575096
206,0.9364720996904184
207,0.9361672394812746
208,0.9359273739971397
209,0.9356378513346574
210,0.9354228754213306
211,0.9351994505832176
212,0.9349880802477993
213,0.9347682769393064
214,0.9346008012530251
215,0.9344648240930356
216,0.9343899780546794
217,0.9342757110556664
218,0.9341622624187066
219,0.9340100745543759
220,0.9339279279799803
221,0.9338365049373993
222,0.9337847144577606
223,0.9336651680665808
224,0.9336045011336568
225,0.9335152616480639
226,0.9333690354521061
227,0.933204748927736
228,0.9330987213820237
229,0.9330407487209256
230,0.9330019313787624
231,0.9329068841149183
232,0.932831137617377
233,0.9327930848570163
234,0.9328293727700835
235,0.9329760471440945
236,0.9331305340303394
237,0.9332744092496891
238,0.9333621653860894
239,0.9334126610200126
240,0.9334082345082455
241,0.9334757962352068
242,0.9334707696237603
243,0.9334745365663689
244,0.9334959045557818
245,0.9335524205613005
246,0.9336967270672949
247,0.9338573350902877
248,0.9339901863850798
249,0.9340868628036718
250,0.9341913117958746
251,0.9343294624388597
252,0.9345268478451695
253,0.9348258229556959
254,0.9350880472606743
255,0.9353395629514222
256,0.9355719825319212
257,0.9357855216219622
258,0.9360226184046129
259,0.9362325269863526
260,0.9364490802845695
261,0.936680556189176
262,0.9369018276763851
263,0.9370964264170407
264,0.9373307245880064
265,0.9375960587409952
266,0.9379166868950255
267,0.9382674937441527
268,0.9385748898409282
269,0.9388474539291444
270,0.9390855600296435
271,0.9392815228066733
272,0.9394759135896684
273,0.9397167281190131
274,0.9399955081906388
275,0.9403039133763162
276,0.940609982914797
277,0.9408900875531865
278,0.9411366407402784
279,0.9414126318866818
280,0.9416631348705037
281,0.9419350702556695
282,0.9422514668430921
283,0.9425578070691271
284,0.9428849808506238
285,0.9432251053971548
286,0.9435474712116316
287,0.9438979702235917
288,0.9442611323659322
289,0.9446443973753113
290,0.945024937408462
291,0.9454102966515265
292,0.945800427065449
293,0.9461878146647938
294,0.9465724869109315
295,0.9469544708895629
296,0.9473337933169755
297,0.9477104805461865
298,0.9480845585729537
299,0.9484560530416677
300,0.9488249892511255
301,0.9491913921601871
302,0.9495552863933233
303,0.9499166962460454
304,0.9502756456902347
305,0.9506321583793638
306,0.9509862576536118
307,0.9513379665448835
308,0.9516873077817252
309,0.9520343037941509
310,0.9523789767183659
311,0.9527213484014068
312,0.9530614404056842
313,0.9533992740134428
314,0.953734870231132
315,0.9540682497936931
316,0.9543994331687656
317,0.9547284405608109
318,0.9550552919151593
319,0.9553800069219768
320,0.9557026050201595
321,0.9560231054011515
322,0.9563415270126958
323,0.9566578885625054
324,0.9569722085218721
325,0.9572845051292075
326,0.9575947963935115
327,0.9579031000977859
328,0.9582094338023747
329,0.9585138148482459
330,0.9588162603602137
331,0.9591167872501005
