,0,1
0,-32.74999,11.968899
1,1.7938125,-26.771406
2,8.718407,-20.281748
3,31.010908,-5.2416396
4,-24.008032,1.4605646
5,28.141485,-1.3656622
6,8.139766,34.133995
7,-30.311037,12.692503
8,6.971117,-26.672174
9,1.008057,-26.340965
10,-12.646715,-26.584541
11,22.73947,17.320782
12,29.60302,-7.8324733
13,-14.002498,-10.083583
14,26.56121,-13.881304
15,14.460377,-24.304905
16,-14.308784,-13.719825
17,14.186936,-25.07252
18,19.488111,-20.326948
19,-25.344307,10.797505
20,5.9669943,38.194298
21,19.148943,-15.836398
22,33.979782,1.0313057
23,3.818485,-28.404247
24,-34.882816,-3.5763366
25,8.166505,39.89365
26,-0.6273082,-22.797592
27,18.125328,-17.444323
28,-22.337328,-6.610631
29,21.401043,-11.533008
30,-21.687449,-11.338867
31,6.726078,-23.074945
32,-8.448397,-23.661894
33,9.453215,35.552708
34,14.752723,-21.307941
35,30.430729,1.1253486
36,-11.954393,-19.082716
37,-31.162222,30.5648
38,24.730911,12.411772
39,-15.605572,-17.243181
40,25.025854,11.449351
41,12.271472,-21.32919
42,12.607083,-20.236036
43,-26.6326,15.876032
44,-28.1687,4.1463127
45,13.422078,-20.831236
46,-18.883793,-14.557187
47,15.760685,-27.0531
48,-24.288591,-10.423137
49,-32.688473,32.007713
50,-31.9021,27.474272
51,-31.215662,25.050285
52,26.895702,-13.002415
53,6.9788384,-25.454947
54,-20.226465,-8.165907
55,10.3322735,34.241634
56,-30.099594,16.311981
57,-3.5008852,-17.434788
58,-21.175806,-11.017506
59,12.8629465,-24.900476
60,12.299036,27.067032
61,28.600801,4.036835
62,-28.967648,11.979941
63,9.436874,37.324547
64,-25.223248,11.184964
65,-16.537678,-17.32313
66,12.917035,30.15537
67,-35.595764,-2.1702697
68,6.3075833,42.66721
69,25.510683,11.708497
70,-24.115326,-10.154046
71,1.9222047,-25.635677
72,28.415325,-4.152853
73,-22.254982,-8.048279
74,28.992695,-13.598411
75,-13.501479,-16.60213
76,-34.822372,-2.2356038
77,-8.040081,-20.224579
78,-9.102374,-19.46686
79,-11.8647585,-9.401216
80,5.89837,-21.616423
81,14.639658,26.091763
82,-27.250992,8.063177
83,-21.504128,-13.798786
84,20.983847,-15.804278
85,28.163754,-3.9481506
86,-33.603756,-0.7123344
87,12.597752,32.573215
88,22.286001,11.10894
89,-6.8605933,-21.141497
90,-3.6779292,-21.132647
91,33.138985,2.395112
92,-18.387169,-11.73427
93,22.813879,16.470247
94,-31.191832,8.765581
