,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-1.870996,4.582332,-0.44983903,-1.5105473,0.051242996,-1.3858051,0.48124203,-1.5952095,-0.3472738,-1.1268287,2.0750582,1.5439632,-0.5997214,0.14719465,0.422452,0.71854347,-0.037053216,0.19222216,-0.1144055,-0.23922652
1,8.539184,7.9048967,-2.3061662,7.692942,1.1159618,-2.5553873,2.1128511,0.69199914,-2.5153594,1.3341132,-2.2172186,1.2876037,0.49845654,-0.14895625,0.49235338,-0.40613934,-1.7123798,-0.5438639,1.6454612,-0.6376955
2,2.7646062,6.021547,2.7326684,-2.0850265,-0.5872988,3.1442845,-0.81518,-2.9845974,0.5987038,0.25570884,-1.3647546,-0.8705497,-1.6103256,-2.0837567,-0.72743696,1.374547,-0.008049469,0.5409714,-0.029757686,-0.48196405
3,8.048467,-6.047054,-1.6228657,0.30220228,-0.52623785,-0.6887532,-0.6628518,-0.3036207,0.04984346,-0.4867444,0.65015596,-0.3850632,0.32176712,-1.2714008,1.4869069,0.5308891,1.7622296,1.5716493,0.0810543,-2.1338346
4,-9.361545,-9.816513,6.438582,1.4038234,1.017594,1.1086627,-1.0464853,0.66831464,1.2355685,-0.083921336,-0.111976095,-0.713922,1.24318,-0.6867643,0.2132693,-0.19907238,-0.081110224,-0.15862045,-0.3804055,-0.73550165
5,-2.1543522,1.6263372,0.52799803,-0.8918328,-0.29007986,0.9054931,0.8370297,1.1079552,-2.4697003,0.9777025,-1.2371106,-1.516731,0.23341827,-0.18128505,0.021563407,1.0050919,-0.8156084,0.3386378,-0.19049275,-1.028199
6,-3.5234287,2.521739,1.2316648,-0.73122627,0.5183585,-2.8430266,2.1761014,0.9093849,-1.4382241,-0.23919146,1.288561,0.09603759,0.15223105,2.3746397,0.21484149,0.15337345,-1.2366157,1.1234641,0.17947124,0.30230185
7,-3.1854115,2.61713,1.591841,-1.3618625,-0.3724518,-2.0435772,1.8689803,-0.89756805,-0.5618173,-0.5010688,0.88316536,0.9988183,-1.3121923,0.65010417,-0.7009154,-0.37164953,1.197079,-0.7165209,-1.4520218,0.72074366
8,-7.7722745,-3.2784474,0.7887794,2.2989967,-0.17641506,-0.44763422,-0.2634422,-0.06018633,-1.6956842,0.046030432,0.24087265,-0.5834234,-0.59749234,-1.2127129,-1.2906896,0.595563,0.8931092,0.22790027,0.03056396,0.8961881
9,-4.1073036,-10.665682,0.7276955,-1.1057003,-4.348252,1.162549,2.145564,-0.029503362,0.8171004,-1.28183,-0.5711546,-1.0995965,0.5613539,-0.5664389,1.0009856,1.6499934,-0.7039411,0.5041597,-0.26453364,-0.6066066
